;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
373;-1,993634596;0,685809537;-0,31827019;1;;;;;
374;-2,658360396;0,641131465;32,91801982;1;;;;;
375;-1,138483431;0,507612602;-43,07582845;1;;;;;
376;-1,726773528;0,789951294;-13,66132361;1;;;;;
377;-1,269567776;0,509014688;-36,5216112;1;;;;;
378;-2,327783613;0,773567713;16,38918064;1;;;;;
379;-1,372820808;0,65291792;-31,35895959;1;;;;;
380;-2,389477723;0,708404459;19,47388617;1;;;;;
381;-1,608596642;0,354925329;-19,57016791;1;;;;;
382;-1,816606599;0,569777686;-9,169670067;1;;;;;
383;-3,601341489;1,098761858;80,06707447;1;;;;;
384;-1,572437079;0,576012762;-21,37814605;1;;;;;
385;-1,699353012;0,491520706;-15,03234939;1;;;;;
386;-1,33170217;0,408294468;-33,41489149;1;;;;;
387;-1,66892781;0,364497635;-16,55360952;1;;;;;
388;-1,803268812;0,473148565;-9,836559387;1;;;;;
389;-1,225645939;0,583636298;-38,71770304;1;;;;;
390;-2,542735481;0,586185829;27,13677405;1;;;;;
391;-2,237041171;0,944023727;11,85205856;1;;;;;
392;-3,155322872;0,691501443;57,76614359;1;;;;;
393;-1,406176937;0,513510277;-29,69115314;1;;;;;
394;-3,622395715;0,914626349;81,11978576;1;;;;;
395;-2,208146365;0,502753326;10,40731823;1;;;;;
396;-1,998187669;0,650545928;-0,090616544;1;;;;;
397;-1,307966942;0,472104177;-34,60165291;1;;;;;
398;-2,287164666;0,485788772;14,35823332;1;;;;;
399;-1,523669827;0,524543539;-23,81650867;1;;;;;
400;-2,613907296;0,702389362;30,69536479;1;;;;;
401;-1,971968428;0,580575574;-1,401578596;1;;;;;
402;-4,268752806;0,823739419;113,4376403;0;;;;;
403;-1,194315833;0,816540371;-40,28420833;1;;;;;
404;-1,706073894;0,693317773;-14,69630529;1;;;;;
405;-1,881221002;0,675237504;-5,938949913;1;;;;;
406;-3,315251112;0,877365236;65,76255559;1;;;;;
407;-1,605971328;0,368890031;-19,70143361;1;;;;;
408;-1,48531259;0,419067338;-25,73437052;1;;;;;
409;-1,029328084;1,026043998;-48,53359582;1;;;;;
410;-3,454571752;0,726529614;72,72858761;0;;;;;
411;-1,189726015;0,623396861;-40,51369924;1;;;;;
412;-1,692513613;0,407948067;-15,37431937;1;;;;;
413;-3,163987679;0,80589793;58,19938393;1;;;;;
414;-2,48321718;0,544849177;24,16085898;1;;;;;
415;-1,90385831;0,636790891;-4,807084507;1;;;;;
416;-2,039071899;0,574879495;1,953594966;1;;;;;
417;-2,272134775;0,442468727;13,60673877;1;;;;;
418;-1,997130381;0,668496548;-0,143480936;1;;;;;
419;-1,817330708;0,428359941;-9,133464579;1;;;;;
420;-1,759555667;0,672132952;-12,02221666;1;;;;;
421;-1,953060539;0,701948938;-2,346973035;1;;;;;
422;-1,640562141;0,478278845;-17,97189294;1;;;;;
423;-1,989297238;0,623371039;-0,535138125;1;;;;;
424;-1,757808323;0,565386384;-12,10958384;1;;;;;
425;-1,614888328;0,371192323;-19,25558361;1;;;;;
426;-3,029746672;0,757284978;51,48733359;1;;;;;
427;-0,769996261;0,487424776;-61,50018696;0;;;;;
428;-2,850137018;0,618217015;42,50685088;1;;;;;
429;-3,323555966;0,924695625;66,1777983;1;;;;;
430;-3,094220505;0,824244454;54,71102523;1;;;;;
431;-2,374183244;0,474208318;18,70916222;1;;;;;
432;-1,525161735;0,550632679;-23,74191324;1;;;;;
433;-2,239516661;0,551697473;11,97583307;1;;;;;
434;-1,350986592;0,402720116;-32,45067041;1;;;;;
435;-2,925373521;0,812352508;46,26867603;1;;;;;
436;-1,776520933;0,466117215;-11,17395334;1;;;;;
437;-2,930797359;0,609130398;46,53986793;1;;;;;
438;-1,258926375;0,530037613;-37,05368125;1;;;;;
439;-3,56753788;0,69022474;78,37689401;0;;;;;
440;-2,591611701;0,499165148;29,58058507;1;;;;;
441;-1,514759197;0,526256291;-24,26204013;1;;;;;
442;-2,3752882;0,508296322;18,76440999;1;;;;;
443;-1,727331701;0,455767969;-13,63341494;1;;;;;
444;-2,301623136;0,696528865;15,08115682;1;;;;;
445;-2,304111356;0,489015038;15,2055678;1;;;;;
446;-1,525821166;0,467238083;-23,70894172;1;;;;;
447;-1,278590628;0,401970382;-36,07046861;1;;;;;
448;-1,960809056;0,473012556;-1,959547191;1;;;;;
449;-2,150905342;0,593185312;7,545267096;1;;;;;
450;-2,779375563;0,834352689;38,96877817;1;;;;;
451;-2,045302923;0,708210376;2,265146164;1;;;;;
452;-2,14913475;0,439247487;7,456737513;1;;;;;
453;-1,489256804;0,426152832;-25,53715982;1;;;;;
454;-2,995558371;0,672597784;49,77791853;1;;;;;
455;-2,094216081;0,754129142;4,71080404;1;;;;;
456;-1,627333662;0,515472949;-18,63331692;1;;;;;
457;-1,55260136;0,382391634;-22,36993202;1;;;;;
458;-2,637509159;0,641541424;31,87545795;1;;;;;
459;-2,275973228;0,552790778;13,79866139;1;;;;;
460;-2,685720254;0,75733439;34,28601268;1;;;;;
461;-2,035442973;0,595165486;1,77214866;1;;;;;
462;-1,404915365;0,415419374;-29,75423173;1;;;;;
463;-1,517985374;0,396870786;-24,10073131;1;;;;;
464;-1,828905416;0,539242904;-8,554729178;1;;;;;
465;-3,217303853;0,652087004;60,86519264;1;;;;;
466;-2,081557437;0,610863095;4,077871841;1;;;;;
467;-2,322438694;0,52319303;16,12193471;1;;;;;
468;-2,732559864;0,690692848;36,62799318;1;;;;;
469;-1,41170219;0,673104109;-29,41489052;1;;;;;
470;-1,934643461;0,552541894;-3,267826963;1;;;;;
471;-1,111602085;0,415144025;-44,41989577;0;;;;;
472;-1,810246377;0,376060531;-9,487681163;1;;;;;
473;-1,527190204;0,497013915;-23,6404898;1;;;;;
474;-1,97926103;0,48608831;-1,036948495;1;;;;;
475;-2,300026278;0,550612563;15,0013139;1;;;;;
476;-2,962407556;0,717244382;48,1203778;1;;;;;
477;-1,343198621;0,41026156;-32,84006894;1;;;;;
478;-3,014043599;0,739196382;50,70217997;1;;;;;
479;-2,161266182;0,415831197;8,063309085;1;;;;;
480;-2,558342557;0,52910278;27,91712784;1;;;;;
